symbol	log2FC	qvalue	group
Gm20498	-0.769	0.1332	None
Evi2a	1.5169	0.0007	Up
Tmem204	-0.3512	0.303	None
Erp29	0.2868	0.2515	None
Tmco1	-0.4806	0.0319	None
Ppic	1.5868	0.0009	Up
Nup155	-0.4249	0.2383	None
Trim17	-2.6299	0.1457	None
Bmp5	-0.272	0.545	None
Zdhhc18	0.2122	0.4597	None
Etaa1	-0.1001	0.8698	None
Foxf1	0.6082	0.2518	None
Mtarc1	-0.1789	0.4993	None
Cdc45	-0.6629	0.8661	None
Amdhd1	-0.0984	0.7718	None
Synrg	-0.0875	0.8524	None
Adam15	1.9421	0.0048	Up
Snx7	0.3127	0.6642	None
Dph2	-0.1588	0.8231	None
Gm3704	-1.0499	0.0267	Down
Dnttip2	0.3274	0.3191	None
Pdzd2	-1.4445	0.1823	None
Themis2	0.678	0.0675	None
Grb14	0.3074	0.4613	None
Tspan33	-1.6355	2.4648e-06	Down
Prkci	0.3074	0.3032	None
C7	0.9269	0.6363	None
Lgals6	-1.3387	0.0048	Down
Gm6793	-0.2114	0.651	None
Psme2b	-0.2891	0.1808	None
Mllt3	1.07	0.001	Up
Ric1	-0.1399	0.6769	None
Rnase4	-0.2638	0.0965	None
Gm16845	-0.5572	0.1795	None
Nmnat3	-0.7324	0.0557	None
Cmtm8	-0.5968	0.034	None
Rbsn	-0.0777	0.8459	None
Pik3cg	1.3865	0.0192	Up
Samd8	0.0458	0.8993	None
Slc35e1	-0.2078	0.4908	None
Mtm1	-0.2516	0.5324	None
R3hcc1	-0.046	0.9394	None
Lrp3	-0.6882	0.0183	None
Strn	0.3301	0.1935	None
Gm19619	4.5564	2.8913e-09	Up
Zer1	-0.0386	0.921	None
As3mt	-0.1283	0.7112	None
Ptpn11	0.1013	0.769	None
Med6	-0.1223	0.8876	None
Aplp2	0.4106	0.018	None
Bhlhe41	-2.9626	3.2408e-06	Down
Uroc1	-0.653	0.0004	None
Clec4a1	1.213	0.0259	Up
Med28	0.1197	0.7961	None
Zbtb12	-0.1199	0.8308	None
Gask1a	2.0982	1.592e-17	Up
Pitpnm3	-0.1518	0.9569	None
D330050I16Rik	-0.2299	0.6973	None
Gm6623	0.0351	0.958	None
Rps6kl1	-0.1262	0.8617	None
Zfp777	0.1244	0.7749	None
Rbm3	-0.2943	0.5538	None
Fam166a	0.1184	0.8597	None
Cetn3	-0.2221	0.7114	None
Tmem139	3.6956	0.0016	Up
0610038B21Rik	-0.8312	0.834	None
Olfm3	-0.2495	0.8433	None
Ugt3a1	-1.9536	5.5553e-21	Down
Numa1	0.2353	0.2766	None
Tpmt	0.343	0.3567	None
Slc39a2	-2.5853	0.0092	Down
Scaf11	0.143	0.557	None
Stau2	0.0534	0.9411	None
Rnf165	0.6737	0.6622	None
Suclg1	-0.5545	0.0745	None
Nnmt	-0.1194	0.797	None
Rchy1	-0.0487	0.9091	None
Rsph3b	-0.1986	0.6227	None
Angptl2	0.6192	0.0089	None
Gnao1	-0.9655	0.4963	None
Ankfy1	0.1	0.7529	None
Gbp8	1.429	0	Up
Rundc1	-0.2556	0.4431	None
Alg12	-0.0907	0.8948	None
Grb10	1.2505	0.0036	Up
Snap23	0.1472	0.673	None
Mir6955	0.1259	0.9615	None
Dnajc8	-0.0135	0.9759	None
Rlf	0.2151	0.5798	None
Ephb2	2.9741	0.02	Up
Numb	-0.1703	0.542	None
Mir546	-0.2337	0.6622	None
Cybb	3.1458	1e-30	Up
Zdhhc24	0.2341	0.7638	None
Snx18	0.288	0.2424	None
Chaf1a	1.5058	0.021	Up
Cyp3a13	-0.618	0.0015	None
Lnx2	1.4085	0	Up
Zfp251	0.641	0.279	None
Nt5dc2	-0.0598	0.9471	None
Sncaip	-0.7631	0.637	None
Kdm2b	0.0608	0.9262	None
Hibch	-0.7554	0.0007	None
Nsun5	-0.1914	0.6641	None
Agtpbp1	-0.0628	0.9306	None
Knop1	-0.1353	0.6258	None
Eva1c	3.5992	0.1296	None
Znfx1	0.0655	0.8566	None
Trrap	-0.0293	0.9448	None
Nab1	0.1877	0.467	None
Metap1	-0.0273	0.9486	None
Slc7a15	0.4054	0.8329	None
Ap2b1	0.3976	0.0904	None
Hspa1b	0.4313	0.3021	None
Bmper	1.2019	0.0864	None
Sycn	1.867	0.3771	None
Zfp456	-0.4257	0.6434	None
Habp4	-0.2007	0.3713	None
Abca8b	0.0551	0.8916	None
Nhlrc3	0.1794	0.7926	None
Prelid3b	-0.0371	0.9327	None
Nudt17	0.4811	0.8668	None
Abl2	0.4414	0.1412	None
Zfp68	-0.1471	0.7175	None
Camk2b	0.2402	0.8812	None
Tk1	-2.1498	5.0403e-23	Down
Wfdc2	1.4157	0.3471	None
Chil1	5.6687	0.0024	Up
Wapl	-0.0652	0.8174	None
Rhbg	-0.1382	0.866	None
Cps1	-0.1043	0.7976	None
Mrtfa	0.9146	0.0004	None
Zbtb2	0.1396	0.7966	None
Stimate	-0.1682	0.6563	None
Rfc2	0.8049	0.0649	None
Krt8	2.9034	1e-30	Up
Senp5	0.1626	0.539	None
Mir6942	0.1076	0.9764	None
Katnb1	0.1421	0.9237	None
Arl11	2.0899	0.026	Up
Plcg1	-0.8451	0.0076	None
Rgma	0.3439	0.8253	None
Zeb2	0.6514	0.0093	None
Pmm2	-0.4051	0.0591	None
Suox	-0.1801	0.5765	None
Rcn3	0.9677	0.024	None
Barx1	3.5429	0.2373	None
2700097O09Rik	-0.5919	0.5751	None
Lzts2	0.5485	0.0953	None
Fam219aos	-0.0933	0.9003	None
Fam241a	0.3806	0.5032	None
Pex5l	5.3889	0.005	Up
Fam219a	0.1033	0.8565	None
Commd3	-0.0651	0.9232	None
Micos10	-0.3552	0.5383	None
Rap1gap	0.5473	0.1494	None
Arhgap25	0.958	0.0503	None
Stk16	-0.5701	0.0107	None
Hibadh	-0.8997	2.1783e-08	None
Atp8b5	-0.5219	0.6637	None
Tnfsf8	0.1367	0.9719	None
Ece1	-0.0681	0.8477	None
Med23	-0.5002	0.2776	None
Otop3	-4.2488	0.2835	None
Ube2n	0.0128	0.9726	None
Gnaq	0.0416	0.9013	None
Ints6l	0.6076	0.1776	None
Mis18a	0.2376	0.7691	None
Sh3bgrl	0.2787	0.1471	None
Cyp2c37	-3.589	1e-30	Down
Gm5434	-0.0199	0.9902	None
Msl1	-0.0883	0.7559	None
Zfp24	-0.1933	0.4934	None
Plcxd1	-0.3156	0.5308	None
Zfp831	0.2144	0.9242	None
Spag7	-0.0883	0.8509	None
Rgs5	-0.9228	0	None
Samd1	0.5979	0.1967	None
Stxbp4	0.5832	0.3753	None
Cdc7	-0.4756	0.8234	None
Adat3	0.6128	0.4401	None
Mfge8	3.982	1e-30	Up
Zyg11a	0.7482	0.3302	None
Agrp	-0.6176	0.8205	None
Gm9199	-0.5862	0.5864	None
Sgcb	1.0625	0.0265	Up
Aco2	-0.491	0.0383	None
Rps25	-0.4619	0.5453	None
Clmp	2.4345	5.8287e-08	Up
Hoxa2	0.2351	0.8467	None
Atp6v1g2	0.0618	0.9407	None
Tpk1	0.3001	0.2736	None
Bicra	0.2348	0.557	None
Orm1	0.6665	0.0004	None
Tgfbi	0.3816	0.1674	None
Qser1	0.6382	0.0054	None
Cxcr2	1.4111	0.2838	None
Nrxn3	-0.8034	0.7428	None
Arpc1a	-0.3652	0.3573	None
Sra1	0.4091	0.483	None
Cklf	0.1521	0.9646	None
Eif4ebp1	-0.1053	0.8179	None
Sec24d	-0.242	0.5601	None
Srp19	-0.2046	0.6954	None
Pdzd4	0.3331	0.7868	None
Smim22	1.6603	0.2686	None
Nrn1	-1.1241	5.4841e-11	Down
Arid1a	0.2021	0.3899	None
Akna	0.6894	0.2457	None
Disc1	-1.1879	0.7157	None
Tlk2	-0.2832	0.3655	None
5930430L01Rik	-1.3869	0.0045	Down
Mafg	-0.065	0.8416	None
Dhrs3	-0.1207	0.7433	None
Dcaf17	-0.4053	0.3336	None
Nptn	0.2499	0.3047	None
Aatf	-0.1762	0.8404	None
1810062O18Rik	0.1341	0.9691	None
Smad5	-0.5011	0.0505	None
Angel1	0.0388	0.9583	None
Vmo1	-1.1611	0.1359	None
Dubr	-0.0843	0.9649	None
Ccdc66	-0.1722	0.7384	None
Gm38431	-0.2816	0.4036	None
Slc17a8	-1.0097	0.014	Down
Setd1b	-0.2848	0.3595	None
Klhl22	-0.3565	0.2526	None
Scd4	-1.3739	0.6736	None
Arhgef19	0.2608	0.5024	None
Mynn	-0.0054	0.9915	None
Ap1b1	0.0401	0.9184	None
Exo5	0.6134	0.252	None
Slc38a11	0.8005	0.7287	None
Cdc42se1	1.0115	1.2189e-07	Up
Slamf8	2.0866	0.0402	Up
Slc7a4	2.2354	0.0004	Up
Pklr	-1.383	0.0174	Down
Hba-a1	0.0171	0.9658	None
Aldh1l2	-0.6702	0.7693	None
Erdr1	-0.0428	0.9722	None
Abcd1	0.1938	0.5523	None
Polr3k	-0.2514	0.4473	None
Bahd1	1.0473	0	Up
Tinf2	0.4632	0.2463	None
